2019-11-25 14:32:18,659 debug Message
2019-11-25 14:32:18,664 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:32:18,667 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:32:18,671 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:32:18,675 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:32:18,679 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:32:18,683 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:32:18,687 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:32:18,690 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:32:18,694 Exception(5, 'OpenService', 'Access is denied.')
2019-11-25 14:36:17,597 debug Message
2019-11-25 14:36:17,617 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:49,787 debug Message
2019-11-25 14:36:49,790 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:49,794 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:49,798 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:49,802 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:49,806 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:49,809 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:49,813 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:49,817 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:49,821 Exception(5, 'OpenService', 'Access is denied.')
2019-11-25 14:36:52,906 debug Message
2019-11-25 14:36:52,908 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:52,912 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:52,917 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:52,938 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:52,938 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:52,938 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:52,948 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:52,948 Exception(1060, 'GetServiceKeyName', 'The specified service does not exist as an installed service.')
2019-11-25 14:36:52,958 Exception(5, 'OpenService', 'Access is denied.')
2019-11-25 15:13:01,113 debug Message
2019-11-25 15:13:01,115 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:01,115 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:01,116 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:01,117 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:01,117 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:01,118 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:01,119 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:01,121 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:01,127 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:12,223 debug Message
2019-11-25 15:13:12,233 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:12,234 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:12,235 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:12,235 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:12,236 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:12,237 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:12,237 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:12,242 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-25 15:13:12,245 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-28 12:03:44,953 debug Message
2019-11-28 12:03:44,955 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-28 12:03:44,956 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-28 12:03:44,957 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-28 12:03:44,957 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-28 12:03:44,958 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-28 12:03:44,959 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-28 12:03:44,959 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-28 12:03:44,962 Exception(5, 'OpenSCManager', 'Access is denied.')
2019-11-28 12:03:44,965 Exception(5, 'OpenSCManager', 'Access is denied.')
